index,purchase_index,fixed_mortgage_30,adjustable_mortgage,fixed_mortgage_15,all_items,all_items_no_fe,shelter,nominal_gdp,personal_income,population,per_capita_income,household_dti,housing_price_index,initial_claims,continued_claims,insured_employees,initial_claims_rate,continued_claims_rate
2017-12-31,242.425,3.949861618573607,3.391853550540477,3.3846853340726364,139.546,134.524,158.264,6590435.3,5722657.999999999,327456720.0,17476.088250376008,1.5127974125842665,113.40356991842464,326381.4000000001,1990378.8,139674840.2,0.22093303583184076,1.411742556232869
2018-02-28,240.175,4.3288565871816385,3.594365565340678,3.7837652108033772,140.805,135.581,159.063,6646346.255555554,5770557.266666667,327721983.3333334,17608.037028822604,1.3729611755179327,114.49359371228698,215522.75,2237066.25,140467149.0,0.14993411598247022,1.5913911250981987
2018-03-31,248.92000000000002,4.443976612125024,3.6518530020256437,3.9099389310592567,141.142,136.045,159.665,6674301.733333332,5794506.899999999,327854615.0,17674.02623658864,1.303017395900831,115.03884546202895,205162.6,2057570.6000000008,140476769.39999998,0.14424356972949912,1.4621930362314726
2018-05-31,250.05,4.5855964417134185,3.789053877735655,4.065427924470507,142.146,136.46,160.731,6751106.022222221,5836808.344444445,328144276.3333333,17787.26977504007,1.3764844751036904,116.45397720176669,198058.25,1569540.75,140915106.0,0.13872675506369603,1.1125801762463015
2018-06-30,250.24,4.569793190480699,3.8169001564708176,4.039888610790293,142.349,136.572,161.007,6789508.166666667,5857959.066666666,328289107.0,17843.881157738204,1.4132401403084855,117.16182285565753,226574.40000000002,1585392.2,140935444.2,0.1535240366844931,1.1224847607786712
2018-07-31,248.2,4.5274848287080784,3.8341981442846165,4.0074578621419805,142.317,136.594,161.478,6807731.02222222,5882592.822222223,328460419.0,17909.506389744758,1.4264558720342548,117.64614081955352,198086.75,1723577.25,141467950.75,0.13649908292949076,1.216232396992662
2018-09-30,236.04000000000002,4.626557083008864,3.9374067999839055,4.079028722026839,142.489,136.814,162.096,6844176.733333333,5931860.333333333,328803043.0,18040.761803738333,1.4528968015030481,118.61510045930443,173879.19999999995,1412260.4000000001,141491720.8,0.11938734049237085,0.9960604423196625
2018-10-31,228.825,4.828918995930889,4.079446664715599,4.246707793871235,142.7,137.1,162.375,6861204.522222225,5951424.266666668,328963778.6666667,18091.378132928057,1.4562879387733396,118.75104111856884,199151.5,1358922.75,142097001.25,0.1378899587850548,0.9562469310354016
2018-11-30,227.475,4.865242262587073,4.105650662437963,4.281355349691635,142.238,137.029,162.652,6878232.311111113,5970988.199999999,329124514.3333333,18141.997077820786,1.4596806373095121,118.88707663594076,248667.75,1480784.75,142096907.0,0.1686289377814219,1.0358977560684617
2018-12-31,240.9,4.636393863174087,4.022197382819668,4.088697165707621,141.699,136.837,163.021,6895260.1000000015,5990552.133333333,329285250.0,18192.61863458607,1.4630748948252388,119.02320687250948,296131.6,1786358.5999999996,142101620.2,0.1968933615278151,1.2442022558676369
